Commodity,Year,Attribute,Value,Notes
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2017,"Food availability-Total-High fructose corn syrup-55-1,000 short tons",,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2018,"Food availability-Total-High fructose corn syrup-55-1,000 short tons",,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2019,"Food availability-Total-High fructose corn syrup-55-1,000 short tons",,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1967,"Food availability-Total-Total-1,000 short tons",3,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1968,"Food availability-Total-Total-1,000 short tons",15,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1969,"Food availability-Total-Total-1,000 short tons",33,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1970,"Food availability-Total-Total-1,000 short tons",56.18268821,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1971,"Food availability-Total-Total-1,000 short tons",85.63024219,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1972,"Food availability-Total-Total-1,000 short tons",121.1600357,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1973,"Food availability-Total-Total-1,000 short tons",218.4931561,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1974,"Food availability-Total-Total-1,000 short tons",295.3920144,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1975,"Food availability-Total-Total-1,000 short tons",526.885,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1976,"Food availability-Total-Total-1,000 short tons",782.2076406,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1977,"Food availability-Total-Total-1,000 short tons",1056.897387,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1978,"Food availability-Total-Total-1,000 short tons",1198.334769,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1979,"Food availability-Total-Total-1,000 short tons",1659.802901,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1980,"Food availability-Total-Total-1,000 short tons",2158.354298,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1981,"Food availability-Total-Total-1,000 short tons",2625.530153,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1982,"Food availability-Total-Total-1,000 short tons",3090.041276,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1983,"Food availability-Total-Total-1,000 short tons",3655.362,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1984,"Food availability-Total-Total-1,000 short tons",4399.177,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1985,"Food availability-Total-Total-1,000 short tons",5385.881,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1986,"Food availability-Total-Total-1,000 short tons",5498.132,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1987,"Food availability-Total-Total-1,000 short tons",5791.983,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1988,"Food availability-Total-Total-1,000 short tons",5998.393,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1989,"Food availability-Total-Total-1,000 short tons",5960.468,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1990,"Food availability-Total-Total-1,000 short tons",6202.45,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1991,"Food availability-Total-Total-1,000 short tons",6376.041,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1992,"Food availability-Total-Total-1,000 short tons",6652.088,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1993,"Food availability-Total-Total-1,000 short tons",7085.77,Computed from unrounded data.
