Commodity,Year,Attribute,Value,Notes
Fruits and vegetables (fresh weight equivalent): Per capita availability,1997,Vegetables-Processing-Canning-Pounds ,105.4558639,"Includes asparagus, lima beans, snap beans, beets, cabbage, carrots, sweet corn, cucumbers, mushrooms, green peas, chile peppers, potatoes, spinach, tomatoes, and other miscellaneous vegetables."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1997,Vegetables-Processing-Freezing-Pounds ,80.13827514,"Includes asparagus, lima beans, snap beans, broccoli, carrots, cauliflower, sweet corn, green peas, potatoes, spinach and other miscellaneous vegetables."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1997,Vegetables-Processing-Dried-Pounds ,16.38970122,Includes potatoes and onions.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1997,Vegetables-Processing-Potatoes for chips-Pounds ,15.2200445,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1997,Vegetables-Processing-Legumes-Pounds ,8.295714875,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1997,Vegetables-Processing-Total processed vegetables-Pounds ,225.4995996,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1997,Vegetables-Total vegetables-Pounds ,424.505021,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1997,Total fruit and vegetables-Pounds ,711.1789478,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1998,Fruit-Fresh-Pounds ,129.4223447,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1998,Fruit-Processing-Canning-Pounds ,17.06748329,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1998,Fruit-Processing-Freezing-Pounds ,4.481408233,"Includes apples, apricots, blackberries, blueberries, boysenberries, cherries, loganberries, peaches, plums, prunes, raspberries, strawberries, and other miscellaneous fruit and berries."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1998,Fruit-Processing-Dried-Pounds ,12.22250363,"Includes apples, apricots, dates, figs, peaches, pears, prunes, and raisins."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1998,Fruit-Processing-Juice-Pounds ,136.4318436,"Includes apple, cranberry, grape, grapefruit, lemon, lime, orange, pineapple, and prune juice."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1998,Fruit-Processing-Other process-Pounds ,0.346289135,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1998,Fruit-Processing-Total processed fruit-Pounds ,170.5495279,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1998,Fruit-Total fruit-Pounds ,299.9718725,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1998,Vegetables-Fresh-Pounds ,195.5831247,"Includes artichokes, asparagus, snap beans, broccoli, cabbage, carrots, cauliflower, celery, sweet corn, cucumbers, eggplant, endive, escarole, garlic, head, romaine, and leaf lettuce, mushrooms, okra, onions, bell peppers, potatoes, radishes, spinach, sweet potatoes, and tomatoes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1998,Vegetables-Processing-Canning-Pounds ,105.3305097,"Includes asparagus, lima beans, snap beans, beets, cabbage, carrots, sweet corn, cucumbers, mushrooms, green peas, chile peppers, potatoes, spinach, tomatoes, and other miscellaneous vegetables."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1998,Vegetables-Processing-Freezing-Pounds ,80.42882015,"Includes asparagus, lima beans, snap beans, broccoli, carrots, cauliflower, sweet corn, green peas, potatoes, spinach and other miscellaneous vegetables."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1998,Vegetables-Processing-Dried-Pounds ,17.65894445,Includes potatoes and onions.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1998,Vegetables-Processing-Potatoes for chips-Pounds ,14.2954409,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1998,Vegetables-Processing-Legumes-Pounds ,8.061120923,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1998,Vegetables-Processing-Total processed vegetables-Pounds ,225.7748361,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1998,Vegetables-Total vegetables-Pounds ,421.3579608,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1998,Total fruit and vegetables-Pounds ,721.3298333,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1999,Fruit-Fresh-Pounds ,130.5069568,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1999,Fruit-Processing-Canning-Pounds ,19.32925167,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1999,Fruit-Processing-Freezing-Pounds ,4.167332262,"Includes apples, apricots, blackberries, blueberries, boysenberries, cherries, loganberries, peaches, plums, prunes, raspberries, strawberries, and other miscellaneous fruit and berries."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1999,Fruit-Processing-Dried-Pounds ,10.27031017,"Includes apples, apricots, dates, figs, peaches, pears, prunes, and raisins."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1999,Fruit-Processing-Juice-Pounds ,120.1906554,"Includes apple, cranberry, grape, grapefruit, lemon, lime, orange, pineapple, and prune juice."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1999,Fruit-Processing-Other process-Pounds ,0.452860074,
Fruits and vegetables (fresh weight equivalent): Per capita availability,1999,Fruit-Processing-Total processed fruit-Pounds ,154.4104096,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1999,Fruit-Total fruit-Pounds ,284.9173663,Computed from unrounded data.
Fruits and vegetables (fresh weight equivalent): Per capita availability,1999,Vegetables-Fresh-Pounds ,201.3789949,"Includes artichokes, asparagus, snap beans, broccoli, cabbage, carrots, cauliflower, celery, sweet corn, cucumbers, eggplant, endive, escarole, garlic, head, romaine, and leaf lettuce, mushrooms, okra, onions, bell peppers, potatoes, radishes, spinach, sweet potatoes, and tomatoes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1999,Vegetables-Processing-Canning-Pounds ,102.9029774,"Includes asparagus, lima beans, snap beans, beets, cabbage, carrots, sweet corn, cucumbers, mushrooms, green peas, chile peppers, potatoes, spinach, tomatoes, and other miscellaneous vegetables."
