Commodity,Year,Attribute,Value,Notes
"Fluid milk: Total availability, million pounds",1975,Whole milk-Plain-Consumed where produced-Million pounds,1495,
"Fluid milk: Total availability, million pounds",1976,Whole milk-Plain-Consumed where produced-Million pounds,1392,
"Fluid milk: Total availability, million pounds",1977,Whole milk-Plain-Consumed where produced-Million pounds,1283,
"Fluid milk: Total availability, million pounds",1978,Whole milk-Plain-Consumed where produced-Million pounds,1168,
"Fluid milk: Total availability, million pounds",1979,Whole milk-Plain-Consumed where produced-Million pounds,1039,
"Fluid milk: Total availability, million pounds",1980,Whole milk-Plain-Consumed where produced-Million pounds,943,
"Fluid milk: Total availability, million pounds",1981,Whole milk-Plain-Consumed where produced-Million pounds,886,
"Fluid milk: Total availability, million pounds",1982,Whole milk-Plain-Consumed where produced-Million pounds,839,
"Fluid milk: Total availability, million pounds",1983,Whole milk-Plain-Consumed where produced-Million pounds,839,
"Fluid milk: Total availability, million pounds",1984,Whole milk-Plain-Consumed where produced-Million pounds,802,
"Fluid milk: Total availability, million pounds",1985,Whole milk-Plain-Consumed where produced-Million pounds,709,
"Fluid milk: Total availability, million pounds",1986,Whole milk-Plain-Consumed where produced-Million pounds,674,
"Fluid milk: Total availability, million pounds",1987,Whole milk-Plain-Consumed where produced-Million pounds,659,
"Fluid milk: Total availability, million pounds",1988,Whole milk-Plain-Consumed where produced-Million pounds,613,
"Fluid milk: Total availability, million pounds",1989,Whole milk-Plain-Consumed where produced-Million pounds,563,
"Fluid milk: Total availability, million pounds",1990,Whole milk-Plain-Consumed where produced-Million pounds,512,
"Fluid milk: Total availability, million pounds",1991,Whole milk-Plain-Consumed where produced-Million pounds,494,
"Fluid milk: Total availability, million pounds",1992,Whole milk-Plain-Consumed where produced-Million pounds,455,
"Fluid milk: Total availability, million pounds",1993,Whole milk-Plain-Consumed where produced-Million pounds,415,
"Fluid milk: Total availability, million pounds",1994,Whole milk-Plain-Consumed where produced-Million pounds,390,
"Fluid milk: Total availability, million pounds",1995,Whole milk-Plain-Consumed where produced-Million pounds,340,
"Fluid milk: Total availability, million pounds",1996,Whole milk-Plain-Consumed where produced-Million pounds,301,
"Fluid milk: Total availability, million pounds",1997,Whole milk-Plain-Consumed where produced-Million pounds,256,
"Fluid milk: Total availability, million pounds",1998,Whole milk-Plain-Consumed where produced-Million pounds,235,
"Fluid milk: Total availability, million pounds",1999,Whole milk-Plain-Consumed where produced-Million pounds,219,
"Fluid milk: Total availability, million pounds",2000,Whole milk-Plain-Consumed where produced-Million pounds,198,
"Fluid milk: Total availability, million pounds",2001,Whole milk-Plain-Consumed where produced-Million pounds,173,
"Fluid milk: Total availability, million pounds",2002,Whole milk-Plain-Consumed where produced-Million pounds,160,
"Fluid milk: Total availability, million pounds",2003,Whole milk-Plain-Consumed where produced-Million pounds,168,
"Fluid milk: Total availability, million pounds",2004,Whole milk-Plain-Consumed where produced-Million pounds,157,
"Fluid milk: Total availability, million pounds",2005,Whole milk-Plain-Consumed where produced-Million pounds,146,
"Fluid milk: Total availability, million pounds",2006,Whole milk-Plain-Consumed where produced-Million pounds,138,
"Fluid milk: Total availability, million pounds",2007,Whole milk-Plain-Consumed where produced-Million pounds,137,
"Fluid milk: Total availability, million pounds",2008,Whole milk-Plain-Consumed where produced-Million pounds,124,
"Fluid milk: Total availability, million pounds",2009,Whole milk-Plain-Consumed where produced-Million pounds,112,
"Fluid milk: Total availability, million pounds",2010,Whole milk-Plain-Consumed where produced-Million pounds,107,
"Fluid milk: Total availability, million pounds",2011,Whole milk-Plain-Consumed where produced-Million pounds,98,
"Fluid milk: Total availability, million pounds",2012,Whole milk-Plain-Consumed where produced-Million pounds,98,
"Fluid milk: Total availability, million pounds",2013,Whole milk-Plain-Consumed where produced-Million pounds,100,
"Fluid milk: Total availability, million pounds",2014,Whole milk-Plain-Consumed where produced-Million pounds,92,
"Fluid milk: Total availability, million pounds",2015,Whole milk-Plain-Consumed where produced-Million pounds,91,
"Fluid milk: Total availability, million pounds",2016,Whole milk-Plain-Consumed where produced-Million pounds,94,
"Fluid milk: Total availability, million pounds",2017,Whole milk-Plain-Consumed where produced-Million pounds,91,
"Fluid milk: Total availability, million pounds",2018,Whole milk-Plain-Consumed where produced-Million pounds,89,
"Fluid milk: Total availability, million pounds",2019,Whole milk-Plain-Consumed where produced-Million pounds,88,
"Fluid milk: Total availability, million pounds",1909,Whole milk-Plain-Sales-Million pounds,11121,
"Fluid milk: Total availability, million pounds",1910,Whole milk-Plain-Sales-Million pounds,10220,
"Fluid milk: Total availability, million pounds",1911,Whole milk-Plain-Sales-Million pounds,9863,
"Fluid milk: Total availability, million pounds",1912,Whole milk-Plain-Sales-Million pounds,12729,
"Fluid milk: Total availability, million pounds",1913,Whole milk-Plain-Sales-Million pounds,12225,
"Fluid milk: Total availability, million pounds",1914,Whole milk-Plain-Sales-Million pounds,10967,
"Fluid milk: Total availability, million pounds",1915,Whole milk-Plain-Sales-Million pounds,9887,
"Fluid milk: Total availability, million pounds",1916,Whole milk-Plain-Sales-Million pounds,9459,
"Fluid milk: Total availability, million pounds",1917,Whole milk-Plain-Sales-Million pounds,11383,
"Fluid milk: Total availability, million pounds",1918,Whole milk-Plain-Sales-Million pounds,15187,
"Fluid milk: Total availability, million pounds",1919,Whole milk-Plain-Sales-Million pounds,12666,
"Fluid milk: Total availability, million pounds",1920,Whole milk-Plain-Sales-Million pounds,15758,
"Fluid milk: Total availability, million pounds",1921,Whole milk-Plain-Sales-Million pounds,15121,
"Fluid milk: Total availability, million pounds",1922,Whole milk-Plain-Sales-Million pounds,15218,
"Fluid milk: Total availability, million pounds",1923,Whole milk-Plain-Sales-Million pounds,14536,
"Fluid milk: Total availability, million pounds",1924,Whole milk-Plain-Sales-Million pounds,14558,
"Fluid milk: Total availability, million pounds",1925,Whole milk-Plain-Sales-Million pounds,16180,
"Fluid milk: Total availability, million pounds",1926,Whole milk-Plain-Sales-Million pounds,16893,
"Fluid milk: Total availability, million pounds",1927,Whole milk-Plain-Sales-Million pounds,17401,
"Fluid milk: Total availability, million pounds",1928,Whole milk-Plain-Sales-Million pounds,18233,
"Fluid milk: Total availability, million pounds",1929,Whole milk-Plain-Sales-Million pounds,19337,
"Fluid milk: Total availability, million pounds",1930,Whole milk-Plain-Sales-Million pounds,19519,
"Fluid milk: Total availability, million pounds",1931,Whole milk-Plain-Sales-Million pounds,19330,
"Fluid milk: Total availability, million pounds",1932,Whole milk-Plain-Sales-Million pounds,19737,
"Fluid milk: Total availability, million pounds",1933,Whole milk-Plain-Sales-Million pounds,19625,
"Fluid milk: Total availability, million pounds",1934,Whole milk-Plain-Sales-Million pounds,18682,
"Fluid milk: Total availability, million pounds",1935,Whole milk-Plain-Sales-Million pounds,19754,
"Fluid milk: Total availability, million pounds",1936,Whole milk-Plain-Sales-Million pounds,20672,
"Fluid milk: Total availability, million pounds",1937,Whole milk-Plain-Sales-Million pounds,21299,
"Fluid milk: Total availability, million pounds",1938,Whole milk-Plain-Sales-Million pounds,21515,
"Fluid milk: Total availability, million pounds",1939,Whole milk-Plain-Sales-Million pounds,22280,
"Fluid milk: Total availability, million pounds",1940,Whole milk-Plain-Sales-Million pounds,22695,
"Fluid milk: Total availability, million pounds",1941,Whole milk-Plain-Sales-Million pounds,23749,
"Fluid milk: Total availability, million pounds",1942,Whole milk-Plain-Sales-Million pounds,26888,
"Fluid milk: Total availability, million pounds",1943,Whole milk-Plain-Sales-Million pounds,32057,
"Fluid milk: Total availability, million pounds",1944,Whole milk-Plain-Sales-Million pounds,34709,
"Fluid milk: Total availability, million pounds",1945,Whole milk-Plain-Sales-Million pounds,36147,
"Fluid milk: Total availability, million pounds",1946,Whole milk-Plain-Sales-Million pounds,35548,
"Fluid milk: Total availability, million pounds",1947,Whole milk-Plain-Sales-Million pounds,34584,
"Fluid milk: Total availability, million pounds",1948,Whole milk-Plain-Sales-Million pounds,34135,
"Fluid milk: Total availability, million pounds",1949,Whole milk-Plain-Sales-Million pounds,34952,
"Fluid milk: Total availability, million pounds",1950,Whole milk-Plain-Sales-Million pounds,35815,
"Fluid milk: Total availability, million pounds",1951,Whole milk-Plain-Sales-Million pounds,36716,
"Fluid milk: Total availability, million pounds",1952,Whole milk-Plain-Sales-Million pounds,37482,
"Fluid milk: Total availability, million pounds",1953,Whole milk-Plain-Sales-Million pounds,37944,
"Fluid milk: Total availability, million pounds",1954,Whole milk-Plain-Sales-Million pounds,38605,
"Fluid milk: Total availability, million pounds",1955,Whole milk-Plain-Sales-Million pounds,39916,
"Fluid milk: Total availability, million pounds",1956,Whole milk-Plain-Sales-Million pounds,41277,
"Fluid milk: Total availability, million pounds",1957,Whole milk-Plain-Sales-Million pounds,42218,
"Fluid milk: Total availability, million pounds",1958,Whole milk-Plain-Sales-Million pounds,42383,
"Fluid milk: Total availability, million pounds",1959,Whole milk-Plain-Sales-Million pounds,42548,
"Fluid milk: Total availability, million pounds",1960,Whole milk-Plain-Sales-Million pounds,42999,
"Fluid milk: Total availability, million pounds",1961,Whole milk-Plain-Sales-Million pounds,42606,
"Fluid milk: Total availability, million pounds",1962,Whole milk-Plain-Sales-Million pounds,43040,
"Fluid milk: Total availability, million pounds",1963,Whole milk-Plain-Sales-Million pounds,43749,
"Fluid milk: Total availability, million pounds",1964,Whole milk-Plain-Sales-Million pounds,44205,
"Fluid milk: Total availability, million pounds",1965,Whole milk-Plain-Sales-Million pounds,44512,
"Fluid milk: Total availability, million pounds",1966,Whole milk-Plain-Sales-Million pounds,44672,
"Fluid milk: Total availability, million pounds",1967,Whole milk-Plain-Sales-Million pounds,42010,
"Fluid milk: Total availability, million pounds",1968,Whole milk-Plain-Sales-Million pounds,41548,
"Fluid milk: Total availability, million pounds",1969,Whole milk-Plain-Sales-Million pounds,40818,
"Fluid milk: Total availability, million pounds",1970,Whole milk-Plain-Sales-Million pounds,41363,
"Fluid milk: Total availability, million pounds",1971,Whole milk-Plain-Sales-Million pounds,41042,
"Fluid milk: Total availability, million pounds",1972,Whole milk-Plain-Sales-Million pounds,40029,
"Fluid milk: Total availability, million pounds",1973,Whole milk-Plain-Sales-Million pounds,38473,
"Fluid milk: Total availability, million pounds",1974,Whole milk-Plain-Sales-Million pounds,36764,
"Fluid milk: Total availability, million pounds",1975,Whole milk-Plain-Sales-Million pounds,36188,
"Fluid milk: Total availability, million pounds",1976,Whole milk-Plain-Sales-Million pounds,35241,
"Fluid milk: Total availability, million pounds",1977,Whole milk-Plain-Sales-Million pounds,34036,
"Fluid milk: Total availability, million pounds",1978,Whole milk-Plain-Sales-Million pounds,33235,
"Fluid milk: Total availability, million pounds",1979,Whole milk-Plain-Sales-Million pounds,32480,
"Fluid milk: Total availability, million pounds",1980,Whole milk-Plain-Sales-Million pounds,31253,
"Fluid milk: Total availability, million pounds",1981,Whole milk-Plain-Sales-Million pounds,30397,
"Fluid milk: Total availability, million pounds",1982,Whole milk-Plain-Sales-Million pounds,29350,
"Fluid milk: Total availability, million pounds",1983,Whole milk-Plain-Sales-Million pounds,28871,
"Fluid milk: Total availability, million pounds",1984,Whole milk-Plain-Sales-Million pounds,28204,
"Fluid milk: Total availability, million pounds",1985,Whole milk-Plain-Sales-Million pounds,27760,
"Fluid milk: Total availability, million pounds",1986,Whole milk-Plain-Sales-Million pounds,26446,
"Fluid milk: Total availability, million pounds",1987,Whole milk-Plain-Sales-Million pounds,25644,
"Fluid milk: Total availability, million pounds",1988,Whole milk-Plain-Sales-Million pounds,24691,
"Fluid milk: Total availability, million pounds",1989,Whole milk-Plain-Sales-Million pounds,22823,
"Fluid milk: Total availability, million pounds",1990,Whole milk-Plain-Sales-Million pounds,21333,
"Fluid milk: Total availability, million pounds",1991,Whole milk-Plain-Sales-Million pounds,20769,
"Fluid milk: Total availability, million pounds",1992,Whole milk-Plain-Sales-Million pounds,20196,
"Fluid milk: Total availability, million pounds",1993,Whole milk-Plain-Sales-Million pounds,19460,
"Fluid milk: Total availability, million pounds",1994,Whole milk-Plain-Sales-Million pounds,19223,
"Fluid milk: Total availability, million pounds",1995,Whole milk-Plain-Sales-Million pounds,18662,
